"index","ALIGN_SPLIT","OPTIMIZE_SPLIT","OPTIMIZE_REPS","CUDA_THREADS","N_RESTART","CLIPPING","SIM_THRESH","BUFFER_SIZE"
333,32,8,1,224,256,50,1,20971520
334,8,72,1,32,256,10,4,1048576
335,8,48,1,160,256,50,4,52428800
336,8,72,1,256,256,10,4,52428800
337,8,48,1,96,256,256,1,1048576
338,72,8,1,256,256,50,1,2097152
339,32,48,1,32,256,50,4,1048576
340,32,32,1,64,256,256,4,52428800
341,32,72,5,96,256,256,4,1048576
342,32,32,1,224,256,256,4,1048576
343,72,8,1,32,256,10,1,20971520
344,72,72,1,32,256,50,1,20971520
345,72,72,1,192,256,256,1,1048576
346,48,8,1,224,256,50,4,1048576
347,8,32,1,160,256,50,1,10485760
348,32,8,5,128,256,256,1,10485760
349,32,8,1,224,256,256,1,10485760
350,48,8,1,64,256,256,1,5242880
351,8,32,1,64,256,50,4,1048576
352,8,32,1,224,256,50,1,20971520
353,72,8,1,32,256,10,1,5242880
354,32,8,1,64,256,256,1,2097152
355,8,8,1,256,256,10,4,1048576
356,32,48,1,128,256,50,4,1048576
357,32,32,1,256,256,256,1,20971520
358,8,8,5,192,256,256,1,10485760
359,8,8,5,128,256,50,1,52428800
360,32,8,1,64,256,50,4,52428800
361,48,72,1,160,256,10,1,10485760
362,8,32,1,32,256,50,1,10485760
363,32,8,1,128,256,256,1,2097152
364,8,32,1,224,256,50,1,2097152
365,8,8,1,64,256,256,1,1048576
366,8,8,5,224,256,50,4,20971520
367,32,32,1,256,256,50,1,20971520
368,32,8,1,160,256,50,1,20971520
369,48,72,1,192,256,256,4,52428800
370,72,72,1,32,256,50,4,52428800
371,8,32,5,256,256,50,1,5242880
372,32,72,1,224,256,50,1,5242880
373,32,8,1,224,256,50,1,2097152
374,48,8,1,160,256,256,4,52428800
375,32,32,1,32,256,50,1,20971520
376,32,8,5,32,256,50,4,20971520
377,8,72,1,32,256,10,1,20971520
378,8,48,1,32,256,256,1,20971520
379,8,32,1,96,256,30,1,10485760
380,72,8,1,128,256,10,4,1048576
381,72,72,1,32,256,50,4,1048576
382,8,32,5,256,256,50,1,1048576
383,8,24,1,256,256,10,1,20971520
384,8,72,1,96,256,10,1,20971520
385,32,48,1,192,256,50,4,1048576
386,8,8,1,160,256,256,4,1048576
387,8,72,5,224,256,50,4,2097152
