"ALIGN_SPLIT","OPTIMIZE_SPLIT","OPTIMIZE_REPS","CUDA_THREADS","N_RESTART","CLIPPING","SIM_THRESH","BUFFER_SIZE","WORKER_PARS","WORKER_BUCK","WORKER_DS","TIME_TOTAL","THROUG","AVG_RMSD","RMSD_0.75","-RMSD^3*TIME"
72,8,1,64,256,256,1,20971520,20,4,6,341.232,1317.58,1.6,2.15311,-3406.02950414161
8,72,1,224,256,50,1,20971520,20,4,6,171.081,2628,1.67,2.1650705,-1736.27258493214
8,72,1,192,1024,256,1,20971520,20,4,6,614.321,731.86,1.56,2.049649,-5289.73415730632
72,72,5,32,256,256,1,52428800,20,4,6,731.196,614.88,1.53,1.9820815,-5693.74916920528
72,72,5,32,1024,10,4,5242880,20,4,6,2367.592,189.89,1.93,2.50902925,-37395.9040454562
8,8,1,256,256,10,4,52428800,20,4,6,71.681,6272.24,2.33,3.24027675,-2438.65502715524
72,72,5,256,1024,10,4,2097152,20,4,6,2422.358,185.6,1.93,2.50902925,-38260.9281209529
72,8,5,32,1024,10,4,20971520,20,4,6,1050.161,428.12,2.19,2.843885,-24154.1621523525
72,72,1,256,1024,10,4,10485760,20,4,6,1037.838,433.2,1.96,2.67142275,-19785.9737494132
8,8,5,32,256,10,1,52428800,20,4,6,142.461,3155.95,2.21,2.9636525,-3708.32532596645
8,8,1,256,256,256,4,52428800,20,4,6,152.556,2947.12,1.58,2.24434975,-1724.64972093172
8,8,1,256,1024,10,4,1048576,20,4,6,180.713,2487.92,2.37,3.31175025,-6563.90261367108
72,72,5,32,1024,10,1,52428800,20,4,6,2387.746,188.29,1.85,2.44870025,-35058.6349993983
72,8,1,256,1024,256,1,52428800,20,4,6,874.133,514.33,1.75,2.15510575,-8749.50075212397
72,72,5,256,256,10,1,10485760,20,4,6,622.548,722.19,1.91,2.514532,-9897.92919490141
72,72,5,160,256,50,1,52428800,20,4,6,681.409,659.81,1.67,2.10498075,-6355.53699613504
72,8,1,32,1024,10,4,1048576,20,4,6,710.341,632.93,2.34,2.98019225,-18801.8128433108
72,8,1,256,256,10,1,5242880,20,4,6,200.995,2236.87,2.44,3.29712625,-7204.30324480351
72,72,5,256,1024,256,4,5242880,20,4,6,2598.011,173.05,1.53,1.95177125,-19316.4687108614
8,8,1,32,1024,256,1,5242880,20,4,6,286.978,1566.67,1.76,2.39431625,-3939.06496760527
72,8,1,256,256,256,4,10485760,20,4,6,293.128,1533.8,1.6,2.15311,-2925.87628502023
72,72,5,256,256,256,1,52428800,20,4,6,740.47,607.18,1.53,1.9820815,-5765.96486758876
