"index","confidence","hypo_step","max_arm_length","num_threads"
500,14,1,16,20
501,14,1,16,21
502,14,1,16,22
503,14,1,16,23
504,14,1,16,24
505,14,1,16,25
506,14,1,16,26
507,14,1,16,27
508,14,1,16,28
509,14,1,16,29
510,14,1,16,30
511,14,1,16,31
512,14,1,16,32
513,14,2,1,1
514,14,2,1,2
515,14,2,1,3
516,14,2,1,4
517,14,2,1,5
518,14,2,1,6
519,14,2,1,7
520,14,2,1,8
521,14,2,1,9
522,14,2,1,10
523,14,2,1,11
524,14,2,1,12
525,14,2,1,13
526,14,2,1,14
527,14,2,1,15
528,14,2,1,16
529,14,2,1,17
530,14,2,1,18
531,14,2,1,19
532,14,2,1,20
533,14,2,1,21
534,14,2,1,22
535,14,2,1,23
536,14,2,1,24
537,14,2,1,25
538,14,2,1,26
539,14,2,1,27
540,14,2,1,28
541,14,2,1,29
542,14,2,1,30
543,14,2,1,31
544,14,2,1,32
545,14,2,2,1
546,14,2,2,2
547,14,2,2,3
548,14,2,2,4
549,14,2,2,5
550,14,2,2,6
551,14,2,2,7
552,14,2,2,8
553,14,2,2,9
554,14,2,2,10
555,14,2,2,11
556,14,2,2,12
557,14,2,2,13
558,14,2,2,14
559,14,2,2,15
560,14,2,2,16
561,14,2,2,17
562,14,2,2,18
563,14,2,2,19
564,14,2,2,20
565,14,2,2,21
566,14,2,2,22
567,14,2,2,23
568,14,2,2,24
569,14,2,2,25
570,14,2,2,26
571,14,2,2,27
572,14,2,2,28
573,14,2,2,29
574,14,2,2,30
575,14,2,2,31
576,14,2,2,32
577,14,2,3,1
578,14,2,3,2
579,14,2,3,3
580,14,2,3,4
581,14,2,3,5
582,14,2,3,6
583,14,2,3,7
584,14,2,3,8
585,14,2,3,9
586,14,2,3,10
587,14,2,3,11
588,14,2,3,12
589,14,2,3,13
590,14,2,3,14
591,14,2,3,15
592,14,2,3,16
593,14,2,3,17
594,14,2,3,18
595,14,2,3,19
596,14,2,3,20
597,14,2,3,21
598,14,2,3,22
599,14,2,3,23
600,14,2,3,24
601,14,2,3,25
602,14,2,3,26
603,14,2,3,27
604,14,2,3,28
605,14,2,3,29
606,14,2,3,30
607,14,2,3,31
608,14,2,3,32
609,14,2,4,1
610,14,2,4,2
611,14,2,4,3
612,14,2,4,4
613,14,2,4,5
614,14,2,4,6
615,14,2,4,7
616,14,2,4,8
617,14,2,4,9
618,14,2,4,10
619,14,2,4,11
620,14,2,4,12
621,14,2,4,13
622,14,2,4,14
623,14,2,4,15
624,14,2,4,16
625,14,2,4,17
626,14,2,4,18
627,14,2,4,19
628,14,2,4,20
629,14,2,4,21
630,14,2,4,22
631,14,2,4,23
632,14,2,4,24
633,14,2,4,25
634,14,2,4,26
635,14,2,4,27
636,14,2,4,28
637,14,2,4,29
638,14,2,4,30
639,14,2,4,31
640,14,2,4,32
641,14,2,5,1
642,14,2,5,2
643,14,2,5,3
644,14,2,5,4
645,14,2,5,5
646,14,2,5,6
647,14,2,5,7
648,14,2,5,8
649,14,2,5,9
650,14,2,5,10
651,14,2,5,11
652,14,2,5,12
653,14,2,5,13
654,14,2,5,14
655,14,2,5,15
656,14,2,5,16
657,14,2,5,17
658,14,2,5,18
659,14,2,5,19
660,14,2,5,20
661,14,2,5,21
662,14,2,5,22
663,14,2,5,23
664,14,2,5,24
665,14,2,5,25
666,14,2,5,26
667,14,2,5,27
668,14,2,5,28
669,14,2,5,29
670,14,2,5,30
671,14,2,5,31
672,14,2,5,32
673,14,2,6,1
674,14,2,6,2
675,14,2,6,3
676,14,2,6,4
677,14,2,6,5
678,14,2,6,6
679,14,2,6,7
680,14,2,6,8
681,14,2,6,9
682,14,2,6,10
683,14,2,6,11
684,14,2,6,12
685,14,2,6,13
686,14,2,6,14
687,14,2,6,15
688,14,2,6,16
689,14,2,6,17
690,14,2,6,18
691,14,2,6,19
692,14,2,6,20
693,14,2,6,21
694,14,2,6,22
695,14,2,6,23
696,14,2,6,24
697,14,2,6,25
698,14,2,6,26
699,14,2,6,27
700,14,2,6,28
701,14,2,6,29
702,14,2,6,30
703,14,2,6,31
704,14,2,6,32
705,14,2,7,1
706,14,2,7,2
707,14,2,7,3
708,14,2,7,4
709,14,2,7,5
710,14,2,7,6
711,14,2,7,7
712,14,2,7,8
713,14,2,7,9
714,14,2,7,10
715,14,2,7,11
716,14,2,7,12
717,14,2,7,13
718,14,2,7,14
719,14,2,7,15
720,14,2,7,16
721,14,2,7,17
722,14,2,7,18
723,14,2,7,19
724,14,2,7,20
725,14,2,7,21
726,14,2,7,22
727,14,2,7,23
728,14,2,7,24
729,14,2,7,25
730,14,2,7,26
731,14,2,7,27
732,14,2,7,28
733,14,2,7,29
734,14,2,7,30
735,14,2,7,31
736,14,2,7,32
737,14,2,8,1
738,14,2,8,2
739,14,2,8,3
740,14,2,8,4
741,14,2,8,5
742,14,2,8,6
743,14,2,8,7
744,14,2,8,8
745,14,2,8,9
746,14,2,8,10
747,14,2,8,11
748,14,2,8,12
749,14,2,8,13
750,14,2,8,14
751,14,2,8,15
752,14,2,8,16
753,14,2,8,17
754,14,2,8,18
755,14,2,8,19
756,14,2,8,20
757,14,2,8,21
758,14,2,8,22
759,14,2,8,23
760,14,2,8,24
761,14,2,8,25
762,14,2,8,26
763,14,2,8,27
764,14,2,8,28
765,14,2,8,29
766,14,2,8,30
767,14,2,8,31
768,14,2,8,32
769,14,2,9,1
770,14,2,9,2
771,14,2,9,3
772,14,2,9,4
773,14,2,9,5
774,14,2,9,6
775,14,2,9,7
776,14,2,9,8
777,14,2,9,9
778,14,2,9,10
779,14,2,9,11
780,14,2,9,12
781,14,2,9,13
782,14,2,9,14
783,14,2,9,15
784,14,2,9,16
785,14,2,9,17
786,14,2,9,18
787,14,2,9,19
788,14,2,9,20
789,14,2,9,21
790,14,2,9,22
791,14,2,9,23
792,14,2,9,24
793,14,2,9,25
794,14,2,9,26
795,14,2,9,27
796,14,2,9,28
797,14,2,9,29
798,14,2,9,30
799,14,2,9,31
800,14,2,9,32
801,14,2,10,1
802,14,2,10,2
803,14,2,10,3
804,14,2,10,4
805,14,2,10,5
806,14,2,10,6
807,14,2,10,7
808,14,2,10,8
809,14,2,10,9
810,14,2,10,10
811,14,2,10,11
812,14,2,10,12
813,14,2,10,13
814,14,2,10,14
815,14,2,10,15
816,14,2,10,16
817,14,2,10,17
818,14,2,10,18
819,14,2,10,19
820,14,2,10,20
821,14,2,10,21
822,14,2,10,22
823,14,2,10,23
824,14,2,10,24
825,14,2,10,25
826,14,2,10,26
827,14,2,10,27
828,14,2,10,28
829,14,2,10,29
830,14,2,10,30
831,14,2,10,31
832,14,2,10,32
833,14,2,11,1
834,14,2,11,2
835,14,2,11,3
836,14,2,11,4
837,14,2,11,5
838,14,2,11,6
839,14,2,11,7
840,14,2,11,8
841,14,2,11,9
842,14,2,11,10
843,14,2,11,11
844,14,2,11,12
845,14,2,11,13
846,14,2,11,14
847,14,2,11,15
848,14,2,11,16
849,14,2,11,17
850,14,2,11,18
851,14,2,11,19
852,14,2,11,20
853,14,2,11,21
854,14,2,11,22
855,14,2,11,23
856,14,2,11,24
857,14,2,11,25
858,14,2,11,26
859,14,2,11,27
860,14,2,11,28
861,14,2,11,29
862,14,2,11,30
863,14,2,11,31
864,14,2,11,32
865,14,2,12,1
866,14,2,12,2
867,14,2,12,3
868,14,2,12,4
869,14,2,12,5
870,14,2,12,6
871,14,2,12,7
872,14,2,12,8
873,14,2,12,9
874,14,2,12,10
875,14,2,12,11
876,14,2,12,12
877,14,2,12,13
878,14,2,12,14
879,14,2,12,15
880,14,2,12,16
881,14,2,12,17
882,14,2,12,18
883,14,2,12,19
884,14,2,12,20
885,14,2,12,21
886,14,2,12,22
887,14,2,12,23
888,14,2,12,24
889,14,2,12,25
890,14,2,12,26
891,14,2,12,27
892,14,2,12,28
893,14,2,12,29
894,14,2,12,30
895,14,2,12,31
896,14,2,12,32
897,14,2,13,1
898,14,2,13,2
899,14,2,13,3
900,14,2,13,4
901,14,2,13,5
902,14,2,13,6
903,14,2,13,7
904,14,2,13,8
905,14,2,13,9
906,14,2,13,10
907,14,2,13,11
908,14,2,13,12
909,14,2,13,13
910,14,2,13,14
911,14,2,13,15
912,14,2,13,16
913,14,2,13,17
914,14,2,13,18
915,14,2,13,19
916,14,2,13,20
917,14,2,13,21
918,14,2,13,22
919,14,2,13,23
920,14,2,13,24
921,14,2,13,25
922,14,2,13,26
923,14,2,13,27
924,14,2,13,28
925,14,2,13,29
926,14,2,13,30
927,14,2,13,31
928,14,2,13,32
929,14,2,14,1
930,14,2,14,2
931,14,2,14,3
932,14,2,14,4
933,14,2,14,5
934,14,2,14,6
935,14,2,14,7
936,14,2,14,8
937,14,2,14,9
938,14,2,14,10
939,14,2,14,11
940,14,2,14,12
941,14,2,14,13
942,14,2,14,14
943,14,2,14,15
944,14,2,14,16
945,14,2,14,17
946,14,2,14,18
947,14,2,14,19
948,14,2,14,20
949,14,2,14,21
950,14,2,14,22
951,14,2,14,23
952,14,2,14,24
953,14,2,14,25
954,14,2,14,26
955,14,2,14,27
956,14,2,14,28
957,14,2,14,29
958,14,2,14,30
959,14,2,14,31
960,14,2,14,32
961,14,2,15,1
962,14,2,15,2
963,14,2,15,3
964,14,2,15,4
965,14,2,15,5
966,14,2,15,6
967,14,2,15,7
968,14,2,15,8
969,14,2,15,9
970,14,2,15,10
971,14,2,15,11
972,14,2,15,12
973,14,2,15,13
974,14,2,15,14
975,14,2,15,15
976,14,2,15,16
977,14,2,15,17
978,14,2,15,18
979,14,2,15,19
980,14,2,15,20
981,14,2,15,21
982,14,2,15,22
983,14,2,15,23
984,14,2,15,24
985,14,2,15,25
986,14,2,15,26
987,14,2,15,27
988,14,2,15,28
989,14,2,15,29
990,14,2,15,30
991,14,2,15,31
992,14,2,15,32
993,14,2,16,1
994,14,2,16,2
995,14,2,16,3
996,14,2,16,4
997,14,2,16,5
998,14,2,16,6
999,14,2,16,7
1000,14,2,16,8
1001,14,2,16,9
1002,14,2,16,10
1003,14,2,16,11
1004,14,2,16,12
1005,14,2,16,13
1006,14,2,16,14
1007,14,2,16,15
1008,14,2,16,16
1009,14,2,16,17
1010,14,2,16,18
1011,14,2,16,19
1012,14,2,16,20
1013,14,2,16,21
1014,14,2,16,22
1015,14,2,16,23
1016,14,2,16,24
1017,14,2,16,25
1018,14,2,16,26
1019,14,2,16,27
1020,14,2,16,28
1021,14,2,16,29
1022,14,2,16,30
1023,14,2,16,31
1024,14,2,16,32
1025,14,3,1,1
1026,14,3,1,2
1027,14,3,1,3
1028,14,3,1,4
1029,14,3,1,5
1030,14,3,1,6
1031,14,3,1,7
1032,14,3,1,8
1033,14,3,1,9
1034,14,3,1,10
1035,14,3,1,11
1036,14,3,1,12
1037,14,3,1,13
1038,14,3,1,14
